,category,scientific_name,common_names,conservation_group,park_name,observations
1090,Vascular Plant,Eriogonum flavum var. piperi,"Piper's Golden Buckwheat, Piper's Eriogonum",None,Yellowstone National Park,292
1091,Vascular Plant,Eriogonum flavum var. piperi,"Piper's Golden Buckwheat, Piper's Eriogonum",None,Yosemite National Park,135
1092,Vascular Plant,Eriogonum flavum var. flavum,Alpine Golden Buckwheat,None,Yellowstone National Park,280
1093,Vascular Plant,Eriogonum flavum var. flavum,Alpine Golden Buckwheat,None,Yosemite National Park,129
1094,Vascular Plant,Eriogonum flavum var. flavum,Alpine Golden Buckwheat,None,Great Smoky Mountains National Park,49
1095,Vascular Plant,Eriogonum flavum var. flavum,Alpine Golden Buckwheat,None,Bryce National Park,89
1096,Vascular Plant,Eriogonum cernuum var. cernuum,"Nodding Buckwheat, Nodding Wild Buckwheat",None,Yosemite National Park,160
1097,Vascular Plant,Eriogonum cernuum var. cernuum,"Nodding Buckwheat, Nodding Wild Buckwheat",None,Yellowstone National Park,263
1098,Vascular Plant,Eriogonum cernuum var. cernuum,"Nodding Buckwheat, Nodding Wild Buckwheat",None,Bryce National Park,108
1099,Vascular Plant,Eriogonum cernuum var. cernuum,"Nodding Buckwheat, Nodding Wild Buckwheat",None,Great Smoky Mountains National Park,84
1100,Vascular Plant,Eriogonum caespitosum,"Mat Buckwheat, Matted Wild Buckwheat, Mat Eriogonum, Matted Buckwheat",None,Great Smoky Mountains National Park,75
1101,Vascular Plant,Eriogonum caespitosum,"Mat Buckwheat, Matted Wild Buckwheat, Mat Eriogonum, Matted Buckwheat",None,Yosemite National Park,161
1102,Vascular Plant,Eriogonum caespitosum,"Mat Buckwheat, Matted Wild Buckwheat, Mat Eriogonum, Matted Buckwheat",None,Yellowstone National Park,254
1103,Vascular Plant,Eriogonum caespitosum,"Mat Buckwheat, Matted Wild Buckwheat, Mat Eriogonum, Matted Buckwheat",None,Bryce National Park,77
1104,Vascular Plant,Mirabilis linearis,"Linearleaf Four-O'Clock, Four O'Clock, Narrowleaf Four O'Clock, Narrowleaf Four-O'Clock",None,Yellowstone National Park,265
1105,Vascular Plant,Mirabilis linearis,"Linearleaf Four-O'Clock, Four O'Clock, Narrowleaf Four O'Clock, Narrowleaf Four-O'Clock",None,Bryce National Park,92
1106,Vascular Plant,Mirabilis linearis,"Linearleaf Four-O'Clock, Four O'Clock, Narrowleaf Four O'Clock, Narrowleaf Four-O'Clock",None,Great Smoky Mountains National Park,76
1107,Vascular Plant,Mirabilis linearis,"Linearleaf Four-O'Clock, Four O'Clock, Narrowleaf Four O'Clock, Narrowleaf Four-O'Clock",None,Yosemite National Park,139
1108,Vascular Plant,Eriogonum umbellatum var. dichrocephalum,"Sulphurflower Buckwheat, Sulphur-Flower Buckwheat",None,Great Smoky Mountains National Park,48
1109,Vascular Plant,Eriogonum umbellatum var. dichrocephalum,"Sulphurflower Buckwheat, Sulphur-Flower Buckwheat",None,Yosemite National Park,144
1110,Vascular Plant,Eriogonum umbellatum var. dichrocephalum,"Sulphurflower Buckwheat, Sulphur-Flower Buckwheat",None,Yellowstone National Park,264
1111,Vascular Plant,Eriogonum umbellatum var. dichrocephalum,"Sulphurflower Buckwheat, Sulphur-Flower Buckwheat",None,Bryce National Park,82
1112,Vascular Plant,Montia chamissoi,"Water Miner's Lettuce, Water Minerslettuce, Toadlily, Water Indianlettuce",None,Great Smoky Mountains National Park,86
1113,Vascular Plant,Montia chamissoi,"Water Miner's Lettuce, Water Minerslettuce, Toadlily, Water Indianlettuce",None,Yosemite National Park,140
1114,Vascular Plant,Montia chamissoi,"Water Miner's Lettuce, Water Minerslettuce, Toadlily, Water Indianlettuce",None,Yellowstone National Park,226
1115,Vascular Plant,Montia chamissoi,"Water Miner's Lettuce, Water Minerslettuce, Toadlily, Water Indianlettuce",None,Bryce National Park,109
1116,Vascular Plant,Lewisia rediviva var. rediviva,"Bitter Root, Oregon Bitterroot",None,Yellowstone National Park,252
1117,Vascular Plant,Lewisia rediviva var. rediviva,"Bitter Root, Oregon Bitterroot",None,Bryce National Park,100
1118,Vascular Plant,Lewisia rediviva var. rediviva,"Bitter Root, Oregon Bitterroot",None,Great Smoky Mountains National Park,38
1119,Vascular Plant,Lewisia rediviva var. rediviva,"Bitter Root, Oregon Bitterroot",None,Yosemite National Park,134
1120,Vascular Plant,Lewisia pygmaea,"Pigmy Bitterroot, Alpine Bitterroot, Alpine Lewisia",None,Great Smoky Mountains National Park,100
1121,Vascular Plant,Lewisia pygmaea,"Pigmy Bitterroot, Alpine Bitterroot, Alpine Lewisia",None,Yosemite National Park,124
1122,Vascular Plant,Lewisia pygmaea,"Pigmy Bitterroot, Alpine Bitterroot, Alpine Lewisia",None,Bryce National Park,82
1123,Vascular Plant,Lewisia pygmaea,"Pigmy Bitterroot, Alpine Bitterroot, Alpine Lewisia",None,Yellowstone National Park,236
1124,Vascular Plant,Claytonia megarhiza var. megarhiza,Alpine Springbeauty,None,Yosemite National Park,144
1125,Vascular Plant,Claytonia megarhiza var. megarhiza,Alpine Springbeauty,None,Great Smoky Mountains National Park,102
1126,Vascular Plant,Claytonia megarhiza var. megarhiza,Alpine Springbeauty,None,Yellowstone National Park,236
1127,Vascular Plant,Claytonia megarhiza var. megarhiza,Alpine Springbeauty,None,Bryce National Park,92
1128,Vascular Plant,Claytonia lanceolata,Lanceleaf Springbeauty,None,Yellowstone National Park,254
1129,Vascular Plant,Claytonia lanceolata,Lanceleaf Springbeauty,None,Yosemite National Park,163
1130,Vascular Plant,Claytonia lanceolata,Lanceleaf Springbeauty,None,Great Smoky Mountains National Park,73
1131,Vascular Plant,Claytonia lanceolata,Lanceleaf Springbeauty,None,Bryce National Park,127
1132,Vascular Plant,Cistanthe umbellata,"Mt. Hood Pussypaws, Umbellate Pussypaws",None,Bryce National Park,151
1133,Vascular Plant,Cistanthe umbellata,"Mt. Hood Pussypaws, Umbellate Pussypaws",None,Yellowstone National Park,238
1134,Vascular Plant,Cistanthe umbellata,"Mt. Hood Pussypaws, Umbellate Pussypaws",None,Yosemite National Park,167
1135,Vascular Plant,Cistanthe umbellata,"Mt. Hood Pussypaws, Umbellate Pussypaws",None,Great Smoky Mountains National Park,84
1136,Vascular Plant,Drosera anglica,English Sundew,None,Great Smoky Mountains National Park,100
1137,Vascular Plant,Drosera anglica,English Sundew,None,Yellowstone National Park,257
1138,Vascular Plant,Drosera anglica,English Sundew,None,Yosemite National Park,134
1139,Vascular Plant,Drosera anglica,English Sundew,None,Bryce National Park,102
1140,Vascular Plant,Vaccaria hispanica,"Field Vaccaria, Cowcockle, Cow Soapwort",None,Yellowstone National Park,245
1141,Vascular Plant,Vaccaria hispanica,"Field Vaccaria, Cowcockle, Cow Soapwort",None,Great Smoky Mountains National Park,69
1142,Vascular Plant,Vaccaria hispanica,"Field Vaccaria, Cowcockle, Cow Soapwort",None,Bryce National Park,141
1143,Vascular Plant,Vaccaria hispanica,"Field Vaccaria, Cowcockle, Cow Soapwort",None,Yosemite National Park,192
1144,Vascular Plant,Stellaria umbellata,"Umbellate Chickweed, Umbrella Starwort",None,Yosemite National Park,123
1145,Vascular Plant,Stellaria umbellata,"Umbellate Chickweed, Umbrella Starwort",None,Yellowstone National Park,261
1146,Vascular Plant,Stellaria umbellata,"Umbellate Chickweed, Umbrella Starwort",None,Great Smoky Mountains National Park,110
1147,Vascular Plant,Stellaria umbellata,"Umbellate Chickweed, Umbrella Starwort",None,Bryce National Park,59
1148,Vascular Plant,Lewisia triphylla,"Threeleaf Lewisia, Threeleaf Bitterroot",None,Yosemite National Park,150
1149,Vascular Plant,Lewisia triphylla,"Threeleaf Lewisia, Threeleaf Bitterroot",None,Bryce National Park,104
1150,Vascular Plant,Lewisia triphylla,"Threeleaf Lewisia, Threeleaf Bitterroot",None,Yellowstone National Park,271
1151,Vascular Plant,Lewisia triphylla,"Threeleaf Lewisia, Threeleaf Bitterroot",None,Great Smoky Mountains National Park,76
1152,Vascular Plant,Eriogonum umbellatum var. majus,Sulphur-Flower Buckwheat,None,Yosemite National Park,140
1153,Vascular Plant,Eriogonum umbellatum var. majus,Sulphur-Flower Buckwheat,None,Great Smoky Mountains National Park,75
1154,Vascular Plant,Eriogonum umbellatum var. majus,Sulphur-Flower Buckwheat,None,Yellowstone National Park,245
1155,Vascular Plant,Eriogonum umbellatum var. majus,Sulphur-Flower Buckwheat,None,Bryce National Park,119
1156,Vascular Plant,Eriogonum umbellatum var. umbellatum,Sulphur-Flower Buckwheat,None,Yosemite National Park,156
1157,Vascular Plant,Eriogonum umbellatum var. umbellatum,Sulphur-Flower Buckwheat,None,Yellowstone National Park,230
1158,Vascular Plant,Eriogonum umbellatum var. umbellatum,Sulphur-Flower Buckwheat,None,Great Smoky Mountains National Park,59
1159,Vascular Plant,Eriogonum umbellatum var. umbellatum,Sulphur-Flower Buckwheat,None,Bryce National Park,81
1160,Vascular Plant,Oxyria digyna,"Alpine Mountainsorrel, Mountain Sorrel",None,Bryce National Park,90
1161,Vascular Plant,Oxyria digyna,"Alpine Mountainsorrel, Mountain Sorrel",None,Yellowstone National Park,288
1162,Vascular Plant,Oxyria digyna,"Alpine Mountainsorrel, Mountain Sorrel",None,Great Smoky Mountains National Park,83
1163,Vascular Plant,Oxyria digyna,"Alpine Mountainsorrel, Mountain Sorrel",None,Yosemite National Park,150
1164,Vascular Plant,Parnassia kotzebuei,"Kotzebue's Grass-Of-Parnassus, Kotzebue's Grass Of Parnassus",None,Yellowstone National Park,264
1165,Vascular Plant,Parnassia kotzebuei,"Kotzebue's Grass-Of-Parnassus, Kotzebue's Grass Of Parnassus",None,Bryce National Park,87
1166,Vascular Plant,Parnassia kotzebuei,"Kotzebue's Grass-Of-Parnassus, Kotzebue's Grass Of Parnassus",None,Great Smoky Mountains National Park,67
1167,Vascular Plant,Parnassia kotzebuei,"Kotzebue's Grass-Of-Parnassus, Kotzebue's Grass Of Parnassus",None,Yosemite National Park,165
1168,Vascular Plant,Parnassia fimbriata,"Fringed Grass Of Parnassus, Rocky Mountain Parnassia, Fringed Grass-Of-Parnassus",None,Yellowstone National Park,236
1169,Vascular Plant,Parnassia fimbriata,"Fringed Grass Of Parnassus, Rocky Mountain Parnassia, Fringed Grass-Of-Parnassus",None,Yosemite National Park,152
1170,Vascular Plant,Parnassia fimbriata,"Fringed Grass Of Parnassus, Rocky Mountain Parnassia, Fringed Grass-Of-Parnassus",None,Great Smoky Mountains National Park,88
1171,Vascular Plant,Parnassia fimbriata,"Fringed Grass Of Parnassus, Rocky Mountain Parnassia, Fringed Grass-Of-Parnassus",None,Bryce National Park,105
1172,Vascular Plant,Tamarix chinensis,"Fivestamen Tamarisk, Tamarix, Five-Stamen Tamarisk, China Tamarisk, Saltcedar, Tamarisk, Chinese Tamarisk, Chinese Saltcedar",None,Great Smoky Mountains National Park,98
1173,Vascular Plant,Tamarix chinensis,"Fivestamen Tamarisk, Tamarix, Five-Stamen Tamarisk, China Tamarisk, Saltcedar, Tamarisk, Chinese Tamarisk, Chinese Saltcedar",None,Bryce National Park,53
1174,Vascular Plant,Tamarix chinensis,"Fivestamen Tamarisk, Tamarix, Five-Stamen Tamarisk, China Tamarisk, Saltcedar, Tamarisk, Chinese Tamarisk, Chinese Saltcedar",None,Yosemite National Park,166
1175,Vascular Plant,Tamarix chinensis,"Fivestamen Tamarisk, Tamarix, Five-Stamen Tamarisk, China Tamarisk, Saltcedar, Tamarisk, Chinese Tamarisk, Chinese Saltcedar",None,Yellowstone National Park,248
1176,Vascular Plant,Sarcobatus vermiculatus,"Black Greasewood, Greasewood",None,Yellowstone National Park,233
1177,Vascular Plant,Sarcobatus vermiculatus,"Black Greasewood, Greasewood",None,Yosemite National Park,167
1178,Vascular Plant,Sarcobatus vermiculatus,"Black Greasewood, Greasewood",None,Great Smoky Mountains National Park,60
1179,Vascular Plant,Sarcobatus vermiculatus,"Black Greasewood, Greasewood",None,Bryce National Park,124
1180,Vascular Plant,Rumex venosus,Veiny Dock,None,Great Smoky Mountains National Park,49
1181,Vascular Plant,Rumex venosus,Veiny Dock,None,Yosemite National Park,145
1182,Vascular Plant,Rumex venosus,Veiny Dock,None,Bryce National Park,117
1183,Vascular Plant,Rumex venosus,Veiny Dock,None,Yellowstone National Park,245
1184,Vascular Plant,Rumex paucifolius,"Alpine Sheep Sorrel, Meadow Dock, Fewleaved Dock",None,Great Smoky Mountains National Park,86
1185,Vascular Plant,Rumex paucifolius,"Alpine Sheep Sorrel, Meadow Dock, Fewleaved Dock",None,Yosemite National Park,120
1186,Vascular Plant,Rumex paucifolius,"Alpine Sheep Sorrel, Meadow Dock, Fewleaved Dock",None,Bryce National Park,105
1187,Vascular Plant,Rumex paucifolius,"Alpine Sheep Sorrel, Meadow Dock, Fewleaved Dock",None,Yellowstone National Park,255
1188,Vascular Plant,Rumex aquaticus var. fenestratus,Western Dock,None,Great Smoky Mountains National Park,101
1189,Vascular Plant,Rumex aquaticus var. fenestratus,Western Dock,None,Yosemite National Park,143
1190,Vascular Plant,Rumex aquaticus var. fenestratus,Western Dock,None,Bryce National Park,141
1191,Vascular Plant,Rumex aquaticus var. fenestratus,Western Dock,None,Yellowstone National Park,248
1192,Vascular Plant,Polygonum viviparum,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",None,Great Smoky Mountains National Park,107
1193,Vascular Plant,Polygonum viviparum,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",None,Yosemite National Park,137
1194,Vascular Plant,Polygonum viviparum,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",None,Yellowstone National Park,216
1195,Vascular Plant,Polygonum viviparum,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",None,Bryce National Park,88
1196,Vascular Plant,Polygonum minimum,"Dwarf Knotweed, Broadleaf Knotweed, Zigzag Knotweed",None,Great Smoky Mountains National Park,74
1197,Vascular Plant,Polygonum minimum,"Dwarf Knotweed, Broadleaf Knotweed, Zigzag Knotweed",None,Yosemite National Park,136
1198,Vascular Plant,Polygonum minimum,"Dwarf Knotweed, Broadleaf Knotweed, Zigzag Knotweed",None,Yellowstone National Park,234
1199,Vascular Plant,Polygonum minimum,"Dwarf Knotweed, Broadleaf Knotweed, Zigzag Knotweed",None,Bryce National Park,90
1200,Vascular Plant,Polygonum douglasii var. douglasii,Douglas Knotweed,None,Great Smoky Mountains National Park,67
1201,Vascular Plant,Polygonum douglasii var. douglasii,Douglas Knotweed,None,Bryce National Park,71
1202,Vascular Plant,Polygonum douglasii var. douglasii,Douglas Knotweed,None,Yosemite National Park,130
1203,Vascular Plant,Polygonum douglasii var. douglasii,Douglas Knotweed,None,Yellowstone National Park,237
1204,Vascular Plant,Polygonum bistortoides,American Bistort,None,Bryce National Park,148
1205,Vascular Plant,Polygonum bistortoides,American Bistort,None,Yellowstone National Park,246
1206,Vascular Plant,Polygonum bistortoides,American Bistort,None,Yosemite National Park,136
1207,Vascular Plant,Polygonum bistortoides,American Bistort,None,Great Smoky Mountains National Park,84
1208,Vascular Plant,Polygonum amphibium var. stipulaceum,Water Smartweed,None,Yosemite National Park,120
1209,Vascular Plant,Polygonum amphibium var. stipulaceum,Water Smartweed,None,Yellowstone National Park,220
1210,Vascular Plant,Polygonum amphibium var. stipulaceum,Water Smartweed,None,Bryce National Park,81
1211,Vascular Plant,Polygonum amphibium var. stipulaceum,Water Smartweed,None,Great Smoky Mountains National Park,76
1212,Vascular Plant,Polygonum achoreum,"Leathery Knotweed, Striate Knotweed",None,Yosemite National Park,123
1213,Vascular Plant,Polygonum achoreum,"Leathery Knotweed, Striate Knotweed",None,Yellowstone National Park,255
1214,Vascular Plant,Polygonum achoreum,"Leathery Knotweed, Striate Knotweed",None,Bryce National Park,87
1215,Vascular Plant,Polygonum achoreum,"Leathery Knotweed, Striate Knotweed",None,Great Smoky Mountains National Park,59
1216,Vascular Plant,Parnassia parviflora,Smallflower Grass Of Parnassus,None,Great Smoky Mountains National Park,61
1217,Vascular Plant,Parnassia parviflora,Smallflower Grass Of Parnassus,None,Bryce National Park,69
1218,Vascular Plant,Parnassia parviflora,Smallflower Grass Of Parnassus,None,Yosemite National Park,116
1219,Vascular Plant,Parnassia parviflora,Smallflower Grass Of Parnassus,None,Yellowstone National Park,227
1220,Vascular Plant,Linum lewisii var. lewisii,"Prairie Flax, Lewis' Flax",None,Great Smoky Mountains National Park,68
1221,Vascular Plant,Linum lewisii var. lewisii,"Prairie Flax, Lewis' Flax",None,Yosemite National Park,114
1222,Vascular Plant,Linum lewisii var. lewisii,"Prairie Flax, Lewis' Flax",None,Bryce National Park,120
1223,Vascular Plant,Linum lewisii var. lewisii,"Prairie Flax, Lewis' Flax",None,Yellowstone National Park,275
1224,Vascular Plant,Populus balsamifera,Balsam Poplar,None,Bryce National Park,89
1225,Vascular Plant,Populus balsamifera,Balsam Poplar,None,Yellowstone National Park,246
1226,Vascular Plant,Populus balsamifera,Balsam Poplar,None,Yosemite National Park,148
1227,Vascular Plant,Populus balsamifera,Balsam Poplar,None,Great Smoky Mountains National Park,59
1228,Vascular Plant,Koeleria macrantha,"Prairie Junegrass, Junegrass",None,Yosemite National Park,123
1229,Vascular Plant,Koeleria macrantha,"Prairie Junegrass, Junegrass",None,Yellowstone National Park,256
1230,Vascular Plant,Koeleria macrantha,"Prairie Junegrass, Junegrass",None,Great Smoky Mountains National Park,83
1231,Vascular Plant,Koeleria macrantha,"Prairie Junegrass, Junegrass",None,Bryce National Park,83
1232,Vascular Plant,Hordeum jubatum,Foxtail Barley,None,Bryce National Park,117
1233,Vascular Plant,Hordeum jubatum,Foxtail Barley,None,Yellowstone National Park,234
1234,Vascular Plant,Hordeum jubatum,Foxtail Barley,None,Yosemite National Park,149
1235,Vascular Plant,Hordeum jubatum,Foxtail Barley,None,Great Smoky Mountains National Park,57
1236,Vascular Plant,Hordeum brachyantherum,Meadow Barley,None,Yellowstone National Park,240
1237,Vascular Plant,Hordeum brachyantherum,Meadow Barley,None,Bryce National Park,138
1238,Vascular Plant,Hordeum brachyantherum,Meadow Barley,None,Yosemite National Park,158
1239,Vascular Plant,Hordeum brachyantherum,Meadow Barley,None,Great Smoky Mountains National Park,63
1240,Vascular Plant,Hierochloe odorata,"Vanilla Grass, Sweetgrass",None,Bryce National Park,70
1241,Vascular Plant,Hierochloe odorata,"Vanilla Grass, Sweetgrass",None,Yosemite National Park,127
1242,Vascular Plant,Hierochloe odorata,"Vanilla Grass, Sweetgrass",None,Yellowstone National Park,232
1243,Vascular Plant,Hierochloe odorata,"Vanilla Grass, Sweetgrass",None,Great Smoky Mountains National Park,70
1244,Vascular Plant,Glyceria grandis,"American Mannagrass, Manna Grass",None,Bryce National Park,121
1245,Vascular Plant,Glyceria grandis,"American Mannagrass, Manna Grass",None,Yellowstone National Park,271
1246,Vascular Plant,Glyceria grandis,"American Mannagrass, Manna Grass",None,Yosemite National Park,149
1247,Vascular Plant,Glyceria grandis,"American Mannagrass, Manna Grass",None,Great Smoky Mountains National Park,85
1248,Vascular Plant,Leucopoa kingii,"Spike-Fescue, Spike Fescue",None,Yellowstone National Park,249
1249,Vascular Plant,Leucopoa kingii,"Spike-Fescue, Spike Fescue",None,Great Smoky Mountains National Park,60
1250,Vascular Plant,Leucopoa kingii,"Spike-Fescue, Spike Fescue",None,Bryce National Park,102
1251,Vascular Plant,Leucopoa kingii,"Spike-Fescue, Spike Fescue",None,Yosemite National Park,154
1252,Vascular Plant,Glyceria elata,Tall Mannagrass,None,Bryce National Park,112
1253,Vascular Plant,Glyceria elata,Tall Mannagrass,None,Yosemite National Park,134
1254,Vascular Plant,Glyceria elata,Tall Mannagrass,None,Yellowstone National Park,282
1255,Vascular Plant,Glyceria elata,Tall Mannagrass,None,Great Smoky Mountains National Park,73
1256,Vascular Plant,Festuca subulata,"Nodding Fescue, Bearded Fescue",None,Bryce National Park,64
1257,Vascular Plant,Festuca subulata,"Nodding Fescue, Bearded Fescue",None,Yosemite National Park,158
1258,Vascular Plant,Festuca subulata,"Nodding Fescue, Bearded Fescue",None,Great Smoky Mountains National Park,141
1259,Vascular Plant,Festuca subulata,"Nodding Fescue, Bearded Fescue",None,Yellowstone National Park,268
1260,Vascular Plant,Festuca saximontana,"Mountain Fescue, Rocky Mountain Fescue",None,Yosemite National Park,121
1261,Vascular Plant,Festuca saximontana,"Mountain Fescue, Rocky Mountain Fescue",None,Yellowstone National Park,265
1262,Vascular Plant,Festuca saximontana,"Mountain Fescue, Rocky Mountain Fescue",None,Great Smoky Mountains National Park,71
1263,Vascular Plant,Festuca saximontana,"Mountain Fescue, Rocky Mountain Fescue",None,Bryce National Park,76
1264,Vascular Plant,Festuca occidentalis,Western Fescue,None,Yellowstone National Park,246
1265,Vascular Plant,Festuca occidentalis,Western Fescue,None,Great Smoky Mountains National Park,69
1266,Vascular Plant,Festuca occidentalis,Western Fescue,None,Bryce National Park,87
1267,Vascular Plant,Festuca occidentalis,Western Fescue,None,Yosemite National Park,150
1268,Vascular Plant,Festuca idahoensis,Idaho Fescue,None,Yellowstone National Park,239
1269,Vascular Plant,Festuca idahoensis,Idaho Fescue,None,Yosemite National Park,164
1270,Vascular Plant,Festuca idahoensis,Idaho Fescue,None,Great Smoky Mountains National Park,106
1271,Vascular Plant,Festuca idahoensis,Idaho Fescue,None,Bryce National Park,102
1272,Vascular Plant,Festuca brachyphylla,Alpine Fescue,None,Bryce National Park,121
1273,Vascular Plant,Festuca brachyphylla,Alpine Fescue,None,Yellowstone National Park,256
1274,Vascular Plant,Festuca brachyphylla,Alpine Fescue,None,Great Smoky Mountains National Park,66
1275,Vascular Plant,Festuca brachyphylla,Alpine Fescue,None,Yosemite National Park,133
1276,Vascular Plant,Festuca baffinensis,Baffin Fescue,None,Great Smoky Mountains National Park,26
1277,Vascular Plant,Festuca baffinensis,Baffin Fescue,None,Bryce National Park,124
1278,Vascular Plant,Festuca baffinensis,Baffin Fescue,None,Yosemite National Park,100
1279,Vascular Plant,Festuca baffinensis,Baffin Fescue,None,Yellowstone National Park,278
1280,Vascular Plant,Festuca arundinacea,"Alta Fescue, Coarse Fescue, Reed Fescue, Tall Fescue",None,Yellowstone National Park,218
1281,Vascular Plant,Festuca arundinacea,"Alta Fescue, Coarse Fescue, Reed Fescue, Tall Fescue",None,Bryce National Park,98
1282,Vascular Plant,Festuca arundinacea,"Alta Fescue, Coarse Fescue, Reed Fescue, Tall Fescue",None,Great Smoky Mountains National Park,57
1283,Vascular Plant,Festuca arundinacea,"Alta Fescue, Coarse Fescue, Reed Fescue, Tall Fescue",None,Yosemite National Park,153
1284,Vascular Plant,Elymus trachycaulus var. trachycaulus,"Rye Grass, Bearded Wheatgrass, Slender Wheatgrass, Wheatgrass",None,Yosemite National Park,149
1285,Vascular Plant,Elymus trachycaulus var. trachycaulus,"Rye Grass, Bearded Wheatgrass, Slender Wheatgrass, Wheatgrass",None,Yellowstone National Park,272
1286,Vascular Plant,Elymus trachycaulus var. trachycaulus,"Rye Grass, Bearded Wheatgrass, Slender Wheatgrass, Wheatgrass",None,Great Smoky Mountains National Park,77
1287,Vascular Plant,Elymus trachycaulus var. trachycaulus,"Rye Grass, Bearded Wheatgrass, Slender Wheatgrass, Wheatgrass",None,Bryce National Park,135
1288,Vascular Plant,Glyceria borealis,"Small Floating Manna Grass, Northern Mannagrass, Small Floating Mannagrass",None,Bryce National Park,67
1289,Vascular Plant,Glyceria borealis,"Small Floating Manna Grass, Northern Mannagrass, Small Floating Mannagrass",None,Great Smoky Mountains National Park,82
1290,Vascular Plant,Glyceria borealis,"Small Floating Manna Grass, Northern Mannagrass, Small Floating Mannagrass",None,Yosemite National Park,174
1291,Vascular Plant,Glyceria borealis,"Small Floating Manna Grass, Northern Mannagrass, Small Floating Mannagrass",None,Yellowstone National Park,273
1292,Vascular Plant,Elymus scribneri,"Scribner's Wildrye, Spreading Wheatgrass, Scribner's Wild Rye",None,Yosemite National Park,138
1293,Vascular Plant,Elymus scribneri,"Scribner's Wildrye, Spreading Wheatgrass, Scribner's Wild Rye",None,Bryce National Park,102
1294,Vascular Plant,Elymus scribneri,"Scribner's Wildrye, Spreading Wheatgrass, Scribner's Wild Rye",None,Great Smoky Mountains National Park,97
1295,Vascular Plant,Elymus scribneri,"Scribner's Wildrye, Spreading Wheatgrass, Scribner's Wild Rye",None,Yellowstone National Park,242
1296,Vascular Plant,Melica spectabilis,Purple Oniongrass,None,Bryce National Park,89
1297,Vascular Plant,Melica spectabilis,Purple Oniongrass,None,Yosemite National Park,144
1298,Vascular Plant,Melica spectabilis,Purple Oniongrass,None,Great Smoky Mountains National Park,39
1299,Vascular Plant,Melica spectabilis,Purple Oniongrass,None,Yellowstone National Park,250
1300,Vascular Plant,Poa alpina,Alpine Bluegrass,None,Yellowstone National Park,243
1301,Vascular Plant,Poa alpina,Alpine Bluegrass,None,Great Smoky Mountains National Park,61
1302,Vascular Plant,Poa alpina,Alpine Bluegrass,None,Yosemite National Park,141
1303,Vascular Plant,Poa alpina,Alpine Bluegrass,None,Bryce National Park,137
1304,Vascular Plant,Piptatherum exiguum,Little Ricegrass,None,Yosemite National Park,101
1305,Vascular Plant,Piptatherum exiguum,Little Ricegrass,None,Bryce National Park,94
1306,Vascular Plant,Piptatherum exiguum,Little Ricegrass,None,Great Smoky Mountains National Park,112
1307,Vascular Plant,Piptatherum exiguum,Little Ricegrass,None,Yellowstone National Park,265
1308,Vascular Plant,Phragmites australis,Common Reed,None,Great Smoky Mountains National Park,103
1309,Vascular Plant,Phragmites australis,Common Reed,None,Yellowstone National Park,227
1310,Vascular Plant,Phragmites australis,Common Reed,None,Yosemite National Park,131
1311,Vascular Plant,Phragmites australis,Common Reed,None,Bryce National Park,73
1312,Vascular Plant,Phleum alpinum,Alpine Timothy,None,Yosemite National Park,156
1313,Vascular Plant,Phleum alpinum,Alpine Timothy,None,Yellowstone National Park,277
1314,Vascular Plant,Phleum alpinum,Alpine Timothy,None,Great Smoky Mountains National Park,89
1315,Vascular Plant,Phleum alpinum,Alpine Timothy,None,Bryce National Park,112
1316,Vascular Plant,Melica bulbosa,"Oniongrass, Bulbous Oniongrass",None,Bryce National Park,75
1317,Vascular Plant,Melica bulbosa,"Oniongrass, Bulbous Oniongrass",None,Yosemite National Park,126
1318,Vascular Plant,Melica bulbosa,"Oniongrass, Bulbous Oniongrass",None,Great Smoky Mountains National Park,102
1319,Vascular Plant,Melica bulbosa,"Oniongrass, Bulbous Oniongrass",None,Yellowstone National Park,266
1320,Vascular Plant,Oryzopsis asperifolia,"White-Grain Mountain-Rice Gras, Roughleaf Ricegrass",None,Bryce National Park,126
1321,Vascular Plant,Oryzopsis asperifolia,"White-Grain Mountain-Rice Gras, Roughleaf Ricegrass",None,Yellowstone National Park,231
1322,Vascular Plant,Oryzopsis asperifolia,"White-Grain Mountain-Rice Gras, Roughleaf Ricegrass",None,Great Smoky Mountains National Park,41
1323,Vascular Plant,Oryzopsis asperifolia,"White-Grain Mountain-Rice Gras, Roughleaf Ricegrass",None,Yosemite National Park,157
1324,Vascular Plant,Muhlenbergia richardsonis,"Soft-Leaf Muhly, Mat Muhly",None,Yellowstone National Park,257
1325,Vascular Plant,Muhlenbergia richardsonis,"Soft-Leaf Muhly, Mat Muhly",None,Yosemite National Park,141
1326,Vascular Plant,Muhlenbergia richardsonis,"Soft-Leaf Muhly, Mat Muhly",None,Bryce National Park,88
1327,Vascular Plant,Muhlenbergia richardsonis,"Soft-Leaf Muhly, Mat Muhly",None,Great Smoky Mountains National Park,62
1328,Vascular Plant,Muhlenbergia mexicana,Mexican Muhly,None,Great Smoky Mountains National Park,54
1329,Vascular Plant,Muhlenbergia mexicana,Mexican Muhly,None,Yosemite National Park,149
