,category,scientific_name,conservation_status,common_names,park_name,observations
6369,Vascular Plant,Ranunculus orthorhynchus var. orthorhynchus,None,Straightbeak Buttercup,Bryce National Park,104
6370,Vascular Plant,Ranunculus orthorhynchus var. orthorhynchus,None,Straightbeak Buttercup,Great Smoky Mountains National Park,48
6371,Vascular Plant,Ranunculus orthorhynchus var. orthorhynchus,None,Straightbeak Buttercup,Yellowstone National Park,240
6372,Vascular Plant,Ranunculus occidentalis,None,Western Buttercup,Bryce National Park,74
6373,Vascular Plant,Ranunculus occidentalis,None,Western Buttercup,Great Smoky Mountains National Park,69
6374,Vascular Plant,Ranunculus occidentalis,None,Western Buttercup,Yosemite National Park,135
6375,Vascular Plant,Ranunculus occidentalis,None,Western Buttercup,Yellowstone National Park,252
6376,Vascular Plant,Ranunculus muricatus,None,Spinyfruit Buttercup,Great Smoky Mountains National Park,34
6377,Vascular Plant,Ranunculus muricatus,None,Spinyfruit Buttercup,Bryce National Park,125
6378,Vascular Plant,Ranunculus muricatus,None,Spinyfruit Buttercup,Yosemite National Park,128
6379,Vascular Plant,Ranunculus muricatus,None,Spinyfruit Buttercup,Yellowstone National Park,257
6380,Vascular Plant,Ranunculus hebecarpus,None,"Delicate Buttercup, Downy-Fruit Buttercup",Great Smoky Mountains National Park,80
6381,Vascular Plant,Ranunculus hebecarpus,None,"Delicate Buttercup, Downy-Fruit Buttercup",Yosemite National Park,168
6382,Vascular Plant,Ranunculus hebecarpus,None,"Delicate Buttercup, Downy-Fruit Buttercup",Bryce National Park,108
6383,Vascular Plant,Ranunculus hebecarpus,None,"Delicate Buttercup, Downy-Fruit Buttercup",Yellowstone National Park,270
6384,Vascular Plant,Ranunculus flammula,None,"Greater Creeping Spearwort, Spearwort Buttercup",Great Smoky Mountains National Park,97
6385,Vascular Plant,Ranunculus flammula,None,"Greater Creeping Spearwort, Spearwort Buttercup",Yosemite National Park,133
6386,Vascular Plant,Ranunculus flammula,None,"Greater Creeping Spearwort, Spearwort Buttercup",Yellowstone National Park,240
6387,Vascular Plant,Ranunculus flammula,None,"Greater Creeping Spearwort, Spearwort Buttercup",Bryce National Park,106
6388,Vascular Plant,Ranunculus eschscholtzii var. oxynotus,None,Eschscholtz's Buttercup,Great Smoky Mountains National Park,68
6389,Vascular Plant,Ranunculus eschscholtzii var. oxynotus,None,Eschscholtz's Buttercup,Yosemite National Park,158
6390,Vascular Plant,Ranunculus eschscholtzii var. oxynotus,None,Eschscholtz's Buttercup,Yellowstone National Park,263
6391,Vascular Plant,Ranunculus eschscholtzii var. oxynotus,None,Eschscholtz's Buttercup,Bryce National Park,124
6392,Vascular Plant,Ranunculus cymbalaria var. saximontanus,None,Rocky Mountain Buttercup,Yellowstone National Park,227
6393,Vascular Plant,Ranunculus cymbalaria var. saximontanus,None,Rocky Mountain Buttercup,Bryce National Park,113
6394,Vascular Plant,Ranunculus cymbalaria var. saximontanus,None,Rocky Mountain Buttercup,Great Smoky Mountains National Park,71
6395,Vascular Plant,Ranunculus cymbalaria var. saximontanus,None,Rocky Mountain Buttercup,Yosemite National Park,162
6396,Vascular Plant,Ranunculus californicus,None,California Buttercup,Yosemite National Park,169
6397,Vascular Plant,Ranunculus californicus,None,California Buttercup,Great Smoky Mountains National Park,127
6398,Vascular Plant,Ranunculus californicus,None,California Buttercup,Bryce National Park,79
6399,Vascular Plant,Ranunculus californicus,None,California Buttercup,Yellowstone National Park,292
6400,Vascular Plant,Thalictrum fendleri,None,"Fendler's Meadowrue, Fendler's Meadow-Rue",Yosemite National Park,146
6401,Vascular Plant,Thalictrum fendleri,None,"Fendler's Meadowrue, Fendler's Meadow-Rue",Yellowstone National Park,276
6402,Vascular Plant,Thalictrum fendleri,None,"Fendler's Meadowrue, Fendler's Meadow-Rue",Bryce National Park,79
6403,Vascular Plant,Thalictrum fendleri,None,"Fendler's Meadowrue, Fendler's Meadow-Rue",Great Smoky Mountains National Park,70
6404,Vascular Plant,Ranunculus alismifolius var. alismifolius,None,Plantainleaf Buttercup,Yosemite National Park,148
6405,Vascular Plant,Ranunculus alismifolius var. alismifolius,None,Plantainleaf Buttercup,Bryce National Park,104
6406,Vascular Plant,Ranunculus alismifolius var. alismifolius,None,Plantainleaf Buttercup,Yellowstone National Park,284
6407,Vascular Plant,Ranunculus alismifolius var. alismifolius,None,Plantainleaf Buttercup,Great Smoky Mountains National Park,90
6408,Vascular Plant,Rhamnus ilicifolia,None,Hollyleaf Redberry,Yellowstone National Park,261
6409,Vascular Plant,Rhamnus ilicifolia,None,Hollyleaf Redberry,Great Smoky Mountains National Park,111
6410,Vascular Plant,Rhamnus ilicifolia,None,Hollyleaf Redberry,Bryce National Park,91
6411,Vascular Plant,Rhamnus ilicifolia,None,Hollyleaf Redberry,Yosemite National Park,146
6412,Vascular Plant,Adenostoma fasciculatum,None,Chamise,Great Smoky Mountains National Park,57
6413,Vascular Plant,Adenostoma fasciculatum,None,Chamise,Yellowstone National Park,245
6414,Vascular Plant,Adenostoma fasciculatum,None,Chamise,Bryce National Park,128
6415,Vascular Plant,Adenostoma fasciculatum,None,Chamise,Yosemite National Park,148
6416,Vascular Plant,Potentilla drummondii ssp. breweri,None,"Brewer's Cinquefoil, Drummond's Cinquefoil",Yosemite National Park,156
6417,Vascular Plant,Potentilla drummondii ssp. breweri,None,"Brewer's Cinquefoil, Drummond's Cinquefoil",Great Smoky Mountains National Park,56
6418,Vascular Plant,Potentilla drummondii ssp. breweri,None,"Brewer's Cinquefoil, Drummond's Cinquefoil",Yellowstone National Park,258
6419,Vascular Plant,Potentilla drummondii ssp. breweri,None,"Brewer's Cinquefoil, Drummond's Cinquefoil",Bryce National Park,120
6420,Vascular Plant,Physocarpus capitatus,None,Pacific Ninebark,Yosemite National Park,156
6421,Vascular Plant,Physocarpus capitatus,None,Pacific Ninebark,Great Smoky Mountains National Park,113
6422,Vascular Plant,Physocarpus capitatus,None,Pacific Ninebark,Yellowstone National Park,247
6423,Vascular Plant,Physocarpus capitatus,None,Pacific Ninebark,Bryce National Park,112
6424,Vascular Plant,Ivesia unguiculata,None,Yosemite Mousetail,Great Smoky Mountains National Park,44
6425,Vascular Plant,Ivesia unguiculata,None,Yosemite Mousetail,Yellowstone National Park,237
6426,Vascular Plant,Ivesia unguiculata,None,Yosemite Mousetail,Bryce National Park,95
6427,Vascular Plant,Ivesia unguiculata,None,Yosemite Mousetail,Yosemite National Park,167
6428,Vascular Plant,Ivesia shockleyi var. shockleyi,None,"Shockley's Ivesia, Sky Mousetail",Great Smoky Mountains National Park,44
6429,Vascular Plant,Ivesia shockleyi var. shockleyi,None,"Shockley's Ivesia, Sky Mousetail",Yosemite National Park,223
6430,Vascular Plant,Ivesia shockleyi var. shockleyi,None,"Shockley's Ivesia, Sky Mousetail",Bryce National Park,84
6431,Vascular Plant,Ivesia shockleyi var. shockleyi,None,"Shockley's Ivesia, Sky Mousetail",Yellowstone National Park,262
6432,Vascular Plant,Ivesia santolinoides,None,Sierra Mousetail,Yosemite National Park,137
6433,Vascular Plant,Ivesia santolinoides,None,Sierra Mousetail,Great Smoky Mountains National Park,56
6434,Vascular Plant,Ivesia santolinoides,None,Sierra Mousetail,Yellowstone National Park,248
6435,Vascular Plant,Ivesia santolinoides,None,Sierra Mousetail,Bryce National Park,126
6436,Vascular Plant,Ivesia pygmaea,None,"Dwarf Mousetail, Dwarf Ivesia",Yosemite National Park,139
6437,Vascular Plant,Ivesia pygmaea,None,"Dwarf Mousetail, Dwarf Ivesia",Yellowstone National Park,212
6438,Vascular Plant,Ivesia pygmaea,None,"Dwarf Mousetail, Dwarf Ivesia",Great Smoky Mountains National Park,58
6439,Vascular Plant,Ivesia pygmaea,None,"Dwarf Mousetail, Dwarf Ivesia",Bryce National Park,103
6440,Vascular Plant,Ivesia muirii,None,Granite Mousetail,Yosemite National Park,157
6441,Vascular Plant,Ivesia muirii,None,Granite Mousetail,Bryce National Park,130
6442,Vascular Plant,Ivesia muirii,None,Granite Mousetail,Great Smoky Mountains National Park,44
6443,Vascular Plant,Ivesia muirii,None,Granite Mousetail,Yellowstone National Park,259
6444,Vascular Plant,Ivesia lycopodioides ssp. megalopetala,None,Clubmoss Mousetail,Great Smoky Mountains National Park,47
6445,Vascular Plant,Ivesia lycopodioides ssp. megalopetala,None,Clubmoss Mousetail,Yosemite National Park,172
6446,Vascular Plant,Ivesia lycopodioides ssp. megalopetala,None,Clubmoss Mousetail,Bryce National Park,105
6447,Vascular Plant,Ivesia lycopodioides ssp. megalopetala,None,Clubmoss Mousetail,Yellowstone National Park,253
6448,Vascular Plant,Rhamnus rubra,None,Red Buckthorn,Yosemite National Park,168
6449,Vascular Plant,Rhamnus rubra,None,Red Buckthorn,Great Smoky Mountains National Park,88
6450,Vascular Plant,Rhamnus rubra,None,Red Buckthorn,Yellowstone National Park,248
6451,Vascular Plant,Rhamnus rubra,None,Red Buckthorn,Bryce National Park,92
6452,Vascular Plant,Ivesia lycopodioides ssp. lycopodioides,None,"Clubmoss Ivesia, Clubmoss Mousetail",Great Smoky Mountains National Park,99
6453,Vascular Plant,Ivesia lycopodioides ssp. lycopodioides,None,"Clubmoss Ivesia, Clubmoss Mousetail",Yosemite National Park,157
6454,Vascular Plant,Ivesia lycopodioides ssp. lycopodioides,None,"Clubmoss Ivesia, Clubmoss Mousetail",Yellowstone National Park,209
6455,Vascular Plant,Ivesia lycopodioides ssp. lycopodioides,None,"Clubmoss Ivesia, Clubmoss Mousetail",Bryce National Park,118
6456,Vascular Plant,Horkelia fusca ssp. parviflora,None,Smallflower Horkelia,Yosemite National Park,165
6457,Vascular Plant,Horkelia fusca ssp. parviflora,None,Smallflower Horkelia,Yellowstone National Park,284
6458,Vascular Plant,Horkelia fusca ssp. parviflora,None,Smallflower Horkelia,Bryce National Park,108
6459,Vascular Plant,Horkelia fusca ssp. parviflora,None,Smallflower Horkelia,Great Smoky Mountains National Park,39
6460,Vascular Plant,Horkelia californica ssp. dissita,None,California Horkelia,Great Smoky Mountains National Park,105
6461,Vascular Plant,Horkelia californica ssp. dissita,None,California Horkelia,Yosemite National Park,123
6462,Vascular Plant,Horkelia californica ssp. dissita,None,California Horkelia,Yellowstone National Park,205
6463,Vascular Plant,Horkelia californica ssp. dissita,None,California Horkelia,Bryce National Park,97
6464,Vascular Plant,Holodiscus discolor,None,"Creambush Oceanspray, Hillside Oceanspray, Creambush, Oceanspray",Yosemite National Park,134
6465,Vascular Plant,Holodiscus discolor,None,"Creambush Oceanspray, Hillside Oceanspray, Creambush, Oceanspray",Great Smoky Mountains National Park,77
6466,Vascular Plant,Holodiscus discolor,None,"Creambush Oceanspray, Hillside Oceanspray, Creambush, Oceanspray",Bryce National Park,100
6467,Vascular Plant,Holodiscus discolor,None,"Creambush Oceanspray, Hillside Oceanspray, Creambush, Oceanspray",Yellowstone National Park,233
6468,Vascular Plant,Geum macrophyllum,None,"Large-Leaf Avens, Largeleaf Avens",Bryce National Park,84
6469,Vascular Plant,Geum macrophyllum,None,"Large-Leaf Avens, Largeleaf Avens",Great Smoky Mountains National Park,77
6470,Vascular Plant,Geum macrophyllum,None,"Large-Leaf Avens, Largeleaf Avens",Yosemite National Park,119
6471,Vascular Plant,Geum macrophyllum,None,"Large-Leaf Avens, Largeleaf Avens",Yellowstone National Park,263
6472,Vascular Plant,Chamaebatiaria millefolium,None,"Fernbush, Desert Sweet",Great Smoky Mountains National Park,48
6473,Vascular Plant,Chamaebatiaria millefolium,None,"Fernbush, Desert Sweet",Yosemite National Park,152
6474,Vascular Plant,Chamaebatiaria millefolium,None,"Fernbush, Desert Sweet",Yellowstone National Park,215
6475,Vascular Plant,Chamaebatiaria millefolium,None,"Fernbush, Desert Sweet",Bryce National Park,80
6476,Vascular Plant,Chamaebatia foliolosa,None,Mountain Misery,Bryce National Park,78
6477,Vascular Plant,Chamaebatia foliolosa,None,Mountain Misery,Yellowstone National Park,277
6478,Vascular Plant,Chamaebatia foliolosa,None,Mountain Misery,Great Smoky Mountains National Park,44
6479,Vascular Plant,Chamaebatia foliolosa,None,Mountain Misery,Yosemite National Park,166
6480,Vascular Plant,Cercocarpus betuloides var. betuloides,None,Birch-Leaf Mountain-Mahogany,Yellowstone National Park,269
6481,Vascular Plant,Cercocarpus betuloides var. betuloides,None,Birch-Leaf Mountain-Mahogany,Great Smoky Mountains National Park,93
6482,Vascular Plant,Cercocarpus betuloides var. betuloides,None,Birch-Leaf Mountain-Mahogany,Bryce National Park,79
6483,Vascular Plant,Cercocarpus betuloides var. betuloides,None,Birch-Leaf Mountain-Mahogany,Yosemite National Park,146
6484,Vascular Plant,Amelanchier utahensis,None,"Utah Shadberry, Western Serviceberry, Utah Serviceberry",Great Smoky Mountains National Park,66
6485,Vascular Plant,Amelanchier utahensis,None,"Utah Shadberry, Western Serviceberry, Utah Serviceberry",Yosemite National Park,134
6486,Vascular Plant,Amelanchier utahensis,None,"Utah Shadberry, Western Serviceberry, Utah Serviceberry",Bryce National Park,111
6487,Vascular Plant,Amelanchier utahensis,None,"Utah Shadberry, Western Serviceberry, Utah Serviceberry",Yellowstone National Park,242
6488,Vascular Plant,Horkelia tridentata ssp. tridentata,None,Threetooth Horkelia,Bryce National Park,117
6489,Vascular Plant,Horkelia tridentata ssp. tridentata,None,Threetooth Horkelia,Yosemite National Park,186
6490,Vascular Plant,Horkelia tridentata ssp. tridentata,None,Threetooth Horkelia,Great Smoky Mountains National Park,68
6491,Vascular Plant,Horkelia tridentata ssp. tridentata,None,Threetooth Horkelia,Yellowstone National Park,238
6492,Vascular Plant,Ranunculus alismifolius var. alismellus,None,Plantainleaf Buttercup,Yellowstone National Park,251
6493,Vascular Plant,Ranunculus alismifolius var. alismellus,None,Plantainleaf Buttercup,Great Smoky Mountains National Park,90
6494,Vascular Plant,Ranunculus alismifolius var. alismellus,None,Plantainleaf Buttercup,Yosemite National Park,154
6495,Vascular Plant,Ranunculus alismifolius var. alismellus,None,Plantainleaf Buttercup,Bryce National Park,83
6496,Vascular Plant,Kumlienia hystricula,None,Waterfall False Buttercup,Yosemite National Park,140
6497,Vascular Plant,Kumlienia hystricula,None,Waterfall False Buttercup,Great Smoky Mountains National Park,46
6498,Vascular Plant,Kumlienia hystricula,None,Waterfall False Buttercup,Bryce National Park,77
6499,Vascular Plant,Kumlienia hystricula,None,Waterfall False Buttercup,Yellowstone National Park,229
6500,Vascular Plant,Delphinium polycladon,None,"Marsh Larkspur, Mountain Marsh Larkspur",Yellowstone National Park,274
6501,Vascular Plant,Delphinium polycladon,None,"Marsh Larkspur, Mountain Marsh Larkspur",Great Smoky Mountains National Park,83
6502,Vascular Plant,Delphinium polycladon,None,"Marsh Larkspur, Mountain Marsh Larkspur",Yosemite National Park,118
6503,Vascular Plant,Delphinium polycladon,None,"Marsh Larkspur, Mountain Marsh Larkspur",Bryce National Park,88
6504,Vascular Plant,Pellaea bridgesii,None,Bridges' Cliffbrake,Yellowstone National Park,246
6505,Vascular Plant,Pellaea bridgesii,None,Bridges' Cliffbrake,Great Smoky Mountains National Park,72
6506,Vascular Plant,Pellaea bridgesii,None,Bridges' Cliffbrake,Bryce National Park,115
6507,Vascular Plant,Pellaea bridgesii,None,Bridges' Cliffbrake,Yosemite National Park,172
6508,Vascular Plant,Pellaea andromedifolia,None,Coffee Cliffbrake,Yosemite National Park,138
6509,Vascular Plant,Pellaea andromedifolia,None,Coffee Cliffbrake,Great Smoky Mountains National Park,61
6510,Vascular Plant,Pellaea andromedifolia,None,Coffee Cliffbrake,Bryce National Park,112
6511,Vascular Plant,Pellaea andromedifolia,None,Coffee Cliffbrake,Yellowstone National Park,258
6512,Vascular Plant,Cryptogramma cascadensis,None,Cascade Rockbrake,Great Smoky Mountains National Park,79
6513,Vascular Plant,Cryptogramma cascadensis,None,Cascade Rockbrake,Yellowstone National Park,244
6514,Vascular Plant,Cryptogramma cascadensis,None,Cascade Rockbrake,Bryce National Park,110
6515,Vascular Plant,Cryptogramma cascadensis,None,Cascade Rockbrake,Yosemite National Park,149
6516,Vascular Plant,Cheilanthes intertexta,None,Coastal Lipfern,Yosemite National Park,124
6517,Vascular Plant,Cheilanthes intertexta,None,Coastal Lipfern,Bryce National Park,112
6518,Vascular Plant,Cheilanthes intertexta,None,Coastal Lipfern,Great Smoky Mountains National Park,92
6519,Vascular Plant,Cheilanthes intertexta,None,Coastal Lipfern,Yellowstone National Park,271
6520,Vascular Plant,Cheilanthes gracillima,None,Lace Lipfern,Great Smoky Mountains National Park,83
6521,Vascular Plant,Cheilanthes gracillima,None,Lace Lipfern,Yosemite National Park,167
6522,Vascular Plant,Cheilanthes gracillima,None,Lace Lipfern,Yellowstone National Park,235
6523,Vascular Plant,Cheilanthes gracillima,None,Lace Lipfern,Bryce National Park,116
6524,Vascular Plant,Cheilanthes covillei,None,"Coville's Lip Fern, Coville's Lipfern",Yellowstone National Park,249
6525,Vascular Plant,Cheilanthes covillei,None,"Coville's Lip Fern, Coville's Lipfern",Bryce National Park,84
6526,Vascular Plant,Cheilanthes covillei,None,"Coville's Lip Fern, Coville's Lipfern",Yosemite National Park,163
6527,Vascular Plant,Cheilanthes covillei,None,"Coville's Lip Fern, Coville's Lipfern",Great Smoky Mountains National Park,56
6528,Vascular Plant,Aspidotis densa,None,"Pod Fern, Indian's Dream",Great Smoky Mountains National Park,76
6529,Vascular Plant,Aspidotis densa,None,"Pod Fern, Indian's Dream",Yosemite National Park,134
6530,Vascular Plant,Aspidotis densa,None,"Pod Fern, Indian's Dream",Yellowstone National Park,306
6531,Vascular Plant,Aspidotis densa,None,"Pod Fern, Indian's Dream",Bryce National Park,133
6532,Vascular Plant,Aspidotis californica,None,California Lacefern,Bryce National Park,98
6533,Vascular Plant,Aspidotis californica,None,California Lacefern,Great Smoky Mountains National Park,58
6534,Vascular Plant,Aspidotis californica,None,California Lacefern,Yellowstone National Park,241
6535,Vascular Plant,Aspidotis californica,None,California Lacefern,Yosemite National Park,139
6536,Vascular Plant,Pentagramma pallida,None,Pale Silverback Fern,Bryce National Park,119
6537,Vascular Plant,Pentagramma pallida,None,Pale Silverback Fern,Great Smoky Mountains National Park,52
6538,Vascular Plant,Pentagramma pallida,None,Pale Silverback Fern,Yosemite National Park,180
6539,Vascular Plant,Pentagramma pallida,None,Pale Silverback Fern,Yellowstone National Park,210
6540,Vascular Plant,Adiantum jordanii,None,"California Maidenhair Fern, California Maidenhair",Yellowstone National Park,249
6541,Vascular Plant,Adiantum jordanii,None,"California Maidenhair Fern, California Maidenhair",Great Smoky Mountains National Park,62
6542,Vascular Plant,Adiantum jordanii,None,"California Maidenhair Fern, California Maidenhair",Bryce National Park,93
6543,Vascular Plant,Adiantum jordanii,None,"California Maidenhair Fern, California Maidenhair",Yosemite National Park,155
6544,Vascular Plant,Polypodium glycyrrhiza,None,Licorice Fern,Yellowstone National Park,268
6545,Vascular Plant,Polypodium glycyrrhiza,None,Licorice Fern,Yosemite National Park,139
6546,Vascular Plant,Polypodium glycyrrhiza,None,Licorice Fern,Great Smoky Mountains National Park,87
6547,Vascular Plant,Polypodium glycyrrhiza,None,Licorice Fern,Bryce National Park,85
6548,Vascular Plant,Polypodium calirhiza,None,Nested Polypody,Bryce National Park,106
6549,Vascular Plant,Polypodium calirhiza,None,Nested Polypody,Great Smoky Mountains National Park,71
6550,Vascular Plant,Polypodium calirhiza,None,Nested Polypody,Yellowstone National Park,274
6551,Vascular Plant,Polypodium calirhiza,None,Nested Polypody,Yosemite National Park,193
6552,Vascular Plant,Polypodium californicum,None,California Polypody,Bryce National Park,74
6553,Vascular Plant,Polypodium californicum,None,California Polypody,Yellowstone National Park,252
6554,Vascular Plant,Polypodium californicum,None,California Polypody,Yosemite National Park,145
6555,Vascular Plant,Polypodium californicum,None,California Polypody,Great Smoky Mountains National Park,43
6556,Vascular Plant,Polystichum munitum,None,Western Swordfern,Yosemite National Park,154
6557,Vascular Plant,Polystichum munitum,None,Western Swordfern,Bryce National Park,71
6558,Vascular Plant,Polystichum munitum,None,Western Swordfern,Great Smoky Mountains National Park,115
6559,Vascular Plant,Polystichum munitum,None,Western Swordfern,Yellowstone National Park,251
6560,Vascular Plant,Polystichum kruckebergii,None,Kruckeberg's Hollyfern,Yellowstone National Park,213
6561,Vascular Plant,Polystichum kruckebergii,None,Kruckeberg's Hollyfern,Bryce National Park,79
6562,Vascular Plant,Polystichum kruckebergii,None,Kruckeberg's Hollyfern,Yosemite National Park,149
6563,Vascular Plant,Polystichum kruckebergii,None,Kruckeberg's Hollyfern,Great Smoky Mountains National Park,106
6564,Vascular Plant,Polystichum imbricans ssp. imbricans,None,Narrowleaf Swordfern,Bryce National Park,100
6565,Vascular Plant,Polystichum imbricans ssp. imbricans,None,Narrowleaf Swordfern,Yellowstone National Park,229
6566,Vascular Plant,Polystichum imbricans ssp. imbricans,None,Narrowleaf Swordfern,Yosemite National Park,158
6567,Vascular Plant,Polystichum imbricans ssp. imbricans,None,Narrowleaf Swordfern,Great Smoky Mountains National Park,83
6568,Vascular Plant,Dryopteris filix-mas,None,"Malefern, Male Woodfern, Male Fern",Bryce National Park,80
6569,Vascular Plant,Dryopteris filix-mas,None,"Malefern, Male Woodfern, Male Fern",Great Smoky Mountains National Park,78
6570,Vascular Plant,Dryopteris filix-mas,None,"Malefern, Male Woodfern, Male Fern",Yosemite National Park,155
6571,Vascular Plant,Dryopteris filix-mas,None,"Malefern, Male Woodfern, Male Fern",Yellowstone National Park,279
6572,Vascular Plant,Dryopteris arguta,None,Coastal Woodfern,Yosemite National Park,173
6573,Vascular Plant,Dryopteris arguta,None,Coastal Woodfern,Bryce National Park,79
6574,Vascular Plant,Dryopteris arguta,None,Coastal Woodfern,Great Smoky Mountains National Park,84
6575,Vascular Plant,Dryopteris arguta,None,Coastal Woodfern,Yellowstone National Park,249
6576,Vascular Plant,Polypodium hesperium,None,Western Polypody,Great Smoky Mountains National Park,68
6577,Vascular Plant,Polypodium hesperium,None,Western Polypody,Yellowstone National Park,256
6578,Vascular Plant,Polypodium hesperium,None,Western Polypody,Yosemite National Park,133
6579,Vascular Plant,Polypodium hesperium,None,Western Polypody,Bryce National Park,67
6580,Vascular Plant,Pentagramma triangularis ssp. triangularis,None,"Goldfern, Goldback Fern, Western Goldfern",Great Smoky Mountains National Park,77
6581,Vascular Plant,Pentagramma triangularis ssp. triangularis,None,"Goldfern, Goldback Fern, Western Goldfern",Yellowstone National Park,255
6582,Vascular Plant,Pentagramma triangularis ssp. triangularis,None,"Goldfern, Goldback Fern, Western Goldfern",Yosemite National Park,162
6583,Vascular Plant,Pentagramma triangularis ssp. triangularis,None,"Goldfern, Goldback Fern, Western Goldfern",Bryce National Park,133
6584,Vascular Plant,Athyrium alpestre var. americanum,None,Alpine Ladyfern,Great Smoky Mountains National Park,33
6585,Vascular Plant,Athyrium alpestre var. americanum,None,Alpine Ladyfern,Yellowstone National Park,237
6586,Vascular Plant,Athyrium alpestre var. americanum,None,Alpine Ladyfern,Yosemite National Park,125
6587,Vascular Plant,Athyrium alpestre var. americanum,None,Alpine Ladyfern,Bryce National Park,106
6588,Vascular Plant,Athyrium filix-femina var. cyclosorum,None,Subarctic Ladyfern,Yellowstone National Park,263
6589,Vascular Plant,Athyrium filix-femina var. cyclosorum,None,Subarctic Ladyfern,Bryce National Park,89
6590,Vascular Plant,Athyrium filix-femina var. cyclosorum,None,Subarctic Ladyfern,Great Smoky Mountains National Park,47
6591,Vascular Plant,Athyrium filix-femina var. cyclosorum,None,Subarctic Ladyfern,Yosemite National Park,100
6592,Vascular Plant,Delphinium patens ssp. patens,None,Zigzag Larkspur,Yellowstone National Park,253
6593,Vascular Plant,Delphinium patens ssp. patens,None,Zigzag Larkspur,Great Smoky Mountains National Park,94
6594,Vascular Plant,Delphinium patens ssp. patens,None,Zigzag Larkspur,Yosemite National Park,176
6595,Vascular Plant,Delphinium patens ssp. patens,None,Zigzag Larkspur,Bryce National Park,122
6596,Vascular Plant,Delphinium nudicaule,None,Red Larkspur,Yosemite National Park,160
6597,Vascular Plant,Delphinium nudicaule,None,Red Larkspur,Yellowstone National Park,261
6598,Vascular Plant,Delphinium nudicaule,None,Red Larkspur,Great Smoky Mountains National Park,66
6599,Vascular Plant,Delphinium nudicaule,None,Red Larkspur,Bryce National Park,104
6600,Vascular Plant,Delphinium hansenii ssp. hansenii,None,Eldorado Larkspur,Yellowstone National Park,284
6601,Vascular Plant,Delphinium hansenii ssp. hansenii,None,Eldorado Larkspur,Yosemite National Park,136
6602,Vascular Plant,Delphinium hansenii ssp. hansenii,None,Eldorado Larkspur,Great Smoky Mountains National Park,56
6603,Vascular Plant,Delphinium hansenii ssp. hansenii,None,Eldorado Larkspur,Bryce National Park,73
6604,Vascular Plant,Delphinium gracilentum,None,Pine Forest Larkspur,Great Smoky Mountains National Park,75
6605,Vascular Plant,Delphinium gracilentum,None,Pine Forest Larkspur,Yellowstone National Park,265
6606,Vascular Plant,Delphinium gracilentum,None,Pine Forest Larkspur,Yosemite National Park,159
6607,Vascular Plant,Delphinium gracilentum,None,Pine Forest Larkspur,Bryce National Park,110
6608,Vascular Plant,Delphinium depauperatum,None,"Wand Larkspur, Slim Larkspur",Yosemite National Park,132
6609,Vascular Plant,Delphinium depauperatum,None,"Wand Larkspur, Slim Larkspur",Great Smoky Mountains National Park,101
6610,Vascular Plant,Delphinium depauperatum,None,"Wand Larkspur, Slim Larkspur",Bryce National Park,90
6611,Vascular Plant,Delphinium depauperatum,None,"Wand Larkspur, Slim Larkspur",Yellowstone National Park,222
6612,Vascular Plant,Clematis lasiantha,None,Pipestem Clematis,Yellowstone National Park,266
6613,Vascular Plant,Clematis lasiantha,None,Pipestem Clematis,Great Smoky Mountains National Park,67
6614,Vascular Plant,Clematis lasiantha,None,Pipestem Clematis,Bryce National Park,103
6615,Vascular Plant,Clematis lasiantha,None,Pipestem Clematis,Yosemite National Park,155
6616,Vascular Plant,Aquilegia pubescens,None,Sierra Columbine,Yosemite National Park,175
6617,Vascular Plant,Aquilegia pubescens,None,Sierra Columbine,Bryce National Park,120
6618,Vascular Plant,Aquilegia pubescens,None,Sierra Columbine,Yellowstone National Park,261
6619,Vascular Plant,Aquilegia pubescens,None,Sierra Columbine,Great Smoky Mountains National Park,49
6620,Vascular Plant,Aquilegia formosa,None,"Western Columbine, Crimson Columbine",Great Smoky Mountains National Park,58
6621,Vascular Plant,Aquilegia formosa,None,"Western Columbine, Crimson Columbine",Bryce National Park,112
6622,Vascular Plant,Aquilegia formosa,None,"Western Columbine, Crimson Columbine",Yosemite National Park,135
6623,Vascular Plant,Aquilegia formosa,None,"Western Columbine, Crimson Columbine",Yellowstone National Park,234
6624,Vascular Plant,Anemone occidentalis,None,White Pasqueflower,Yosemite National Park,148
6625,Vascular Plant,Anemone occidentalis,None,White Pasqueflower,Great Smoky Mountains National Park,82
6626,Vascular Plant,Anemone occidentalis,None,White Pasqueflower,Bryce National Park,90
6627,Vascular Plant,Anemone occidentalis,None,White Pasqueflower,Yellowstone National Park,264
6628,Vascular Plant,Anemone drummondii,None,Drummond's Anemone,Yellowstone National Park,257
6629,Vascular Plant,Anemone drummondii,None,Drummond's Anemone,Great Smoky Mountains National Park,119
6630,Vascular Plant,Anemone drummondii,None,Drummond's Anemone,Bryce National Park,81
6631,Vascular Plant,Anemone drummondii,None,Drummond's Anemone,Yosemite National Park,136
6632,Vascular Plant,Aconitum columbianum,None,Columbian Monkshood,Yosemite National Park,136
6633,Vascular Plant,Aconitum columbianum,None,Columbian Monkshood,Great Smoky Mountains National Park,77
6634,Vascular Plant,Aconitum columbianum,None,Columbian Monkshood,Bryce National Park,63
6635,Vascular Plant,Aconitum columbianum,None,Columbian Monkshood,Yellowstone National Park,242
