,category,scientific_name,conservation_status,common_names
2877,Nonvascular Plant,Taxiphyllum deplanatum,None,Taxiphyllum Moss
2888,Nonvascular Plant,Schwetschkeopsis fabronia,None,Schwetschkeopsis Moss
2889,Nonvascular Plant,Homalia trichomanoides,None,Homalia Moss
2890,Nonvascular Plant,Neckera complanata,None,Neckera Moss
2909,Nonvascular Plant,Cyrto-hypnum minutulum,None,Cyrto-Hypnum Moss
2908,Nonvascular Plant,Abietinella abietina,None,Abietinella Moss
2907,Nonvascular Plant,Thelia hirtella,None,Thelia Moss
2906,Nonvascular Plant,Sematophyllum marylandicum,None,Maryland Sematophyllum Moss
2905,Nonvascular Plant,Sematophyllum demissum,None,Sematophyllum Moss
2904,Nonvascular Plant,Sematophyllum adnatum,None,Sematophyllum Moss
2903,Nonvascular Plant,Heterophyllium affine,None,Heterophyllium Moss
2902,Nonvascular Plant,Brotherella recurvans,None,Recurved Brotherella Moss
2901,Nonvascular Plant,Pylaisiadelpha tenuirostris,None,Pylaisiadelpha Moss
2900,Nonvascular Plant,Platygyrium repens,None,Platygyrium Moss
2899,Nonvascular Plant,Isopterygium tenerum,None,Isopterygium Moss
2898,Nonvascular Plant,Pterigynandrum filiforme,None,Pterigynandrum Moss
2897,Nonvascular Plant,Myurella sibirica,None,Siberian Myurella Moss
2896,Nonvascular Plant,Heterocladium macounii,None,Macoun's Heterocladium Moss
2895,Nonvascular Plant,Plagiothecium laetum,None,Plagiothecium Moss
2894,Nonvascular Plant,Plagiothecium denticulatum,None,Toothed Plagiothecium Moss
2893,Nonvascular Plant,Plagiothecium cavifolium,None,Plagiothecium Moss
2892,Nonvascular Plant,Thamnobryum alleghaniense,None,Allegany Thamnobryum Moss
2891,Nonvascular Plant,Neckera pennata,None,Neckera Moss
2956,Nonvascular Plant,Zygodon viridissimus,None,Zygodon Moss
2957,Nonvascular Plant,Zygodon viridissimus var. rupestris,None,Zygodon Moss
2958,Nonvascular Plant,Atrichum altecristatum,None,Atrichum Moss
2959,Nonvascular Plant,Atrichum angustatum,None,Atrichum Moss
3024,Mammal,Gulo gulo,None,Wolverine
3023,Mammal,Spilogale gracilis,None,Western Spotted Skunk
3021,Mammal,Lynx canadensis,None,"Canadian Lynx, Lynx, Canada Lynx"
3018,Mammal,Odocoileus hemionus,None,Mule Deer
3016,Mammal,Alces alces shirasi,None,Yellowstone Moose
3013,Mammal,Oreamnos americanus,None,"Rocky Mountain Goat, Mountain Goat"
3012,Mammal,Bison bison,None,"Buffalo, Bison"
3011,Mammal,Antilocapra americana,None,"Antelope, Pronghorn"
3010,Nonvascular Plant,Tetrodontium brownianum,None,Brown's Tetrodontium Moss
3009,Nonvascular Plant,Tetraphis pellucida,None,Tetraphis Moss
3008,Nonvascular Plant,Sphagnum subsecundum,None,Sphagnum
3007,Nonvascular Plant,Sphagnum squarrosum,None,Sphagnum
3006,Nonvascular Plant,Sphagnum quinquefarium,None,Sphagnum
3015,Mammal,Alces alces,None,"Eurasian Elk, Moose"
3060,Mammal,Thomomys talpoides,None,Northern Pocket Gopher
3059,Mammal,Zapus princeps,None,Western Jumping Mouse
3058,Mammal,Phenacomys intermedius,None,"Western Heather Vole, Heather Vole"
3055,Mammal,Neotoma cinerea,None,Bushy-Tailed Woodrat
3054,Mammal,Microtus richardsoni,None,Richardson Water Vole
3053,Mammal,Microtus montanus,None,Montane Vole
3051,Mammal,Lemmiscus curtatus,None,Sagebrush Vole
3048,Mammal,Sylvilagus nuttallii,None,Mountain Cottontail
3047,Mammal,Sylvilagus audubonii,None,Desert Cottontail
3046,Mammal,Lepus townsendii,None,"White-Tailed Jackrabbit, White-Tailed Jack Rabbit"
3005,Nonvascular Plant,Sphagnum pylaesii,None,Pylaes' Sphagnum
3062,Mammal,Marmota flaviventris,None,Yellow-Bellied Marmot
3004,Nonvascular Plant,Sphagnum palustre,None,Prairie Sphagnum
3002,Nonvascular Plant,Sphagnum magellanicum,None,Magellan's Sphagnum
2977,Nonvascular Plant,Didymodon fallax var. reflexus,None,Didymodon Moss
2976,Nonvascular Plant,Didymodon fallax,None,Didymodon Moss
2975,Nonvascular Plant,Barbula unguiculata,None,Barbula Moss
2974,Nonvascular Plant,Barbula convoluta,None,Convoluted Barbula Moss
2973,Nonvascular Plant,Astomum muehlenbergianum,None,Muehlenberg's Astomum Moss
2972,Nonvascular Plant,Anoectangium aestivum,None,Anoectangium Moss
2971,Nonvascular Plant,Polytrichum strictum,None,Polytrichum Moss
2970,Nonvascular Plant,Polytrichum piliferum,None,Polytrichum Moss
2978,Nonvascular Plant,Didymodon rigidulus,None,Rigid Didymodon Moss
2969,Nonvascular Plant,Polytrichum pallidisetum,None,Polytrichum Moss
2967,Nonvascular Plant,Polytrichum juniperinum,None,Juniper Polytrichum Moss
2966,Nonvascular Plant,Polytrichum commune,None,Polytrichum Moss
2965,Nonvascular Plant,Polytrichum appalachianum,None,Appalachian Polytrichum Moss
2964,Nonvascular Plant,Pogonatum pensilvanicum,None,Pennsylvania Pogonatum Moss
2963,Nonvascular Plant,Pogonatum brachyphyllum,None,Pogonatum Moss
2962,Nonvascular Plant,Atrichum undulatum,None,Undulate Atrichum Moss
2961,Nonvascular Plant,Atrichum oerstedianum,None,Oersted's Atrichum Moss
2960,Nonvascular Plant,Atrichum crispum,None,Atrichum Moss
2968,Nonvascular Plant,Polytrichum ohioense,None,Ohio Polytrichum Moss
2979,Nonvascular Plant,Ephemerum spinulosum,None,Ephemerum Moss
2980,Nonvascular Plant,Eucladium verticillatum,None,Eucladium Moss
2981,Nonvascular Plant,Gymnostomum aeruginosum,None,Gymnostomum Moss
3001,Nonvascular Plant,Sphagnum girgensohnii,None,Girgensohn's Sphagnum
3000,Nonvascular Plant,Sphagnum cuspidatum,None,Toothed Sphagnum
2999,Nonvascular Plant,Sphagnum compactum,None,Low Sphagnum
2998,Nonvascular Plant,Sphagnum capillifolium,None,Sphagnum
2997,Nonvascular Plant,Sphagnum affine,None,Sphagnum
2996,Nonvascular Plant,Drummondia prorepens,None,Drummond Moss
2995,Nonvascular Plant,Aulacomnium palustre,None,Aulacomnium Moss
2994,Nonvascular Plant,Aulacomnium heterostichum,None,Aulacomnium Moss
2993,Nonvascular Plant,Weissia controversa,None,Controverial Weissia Moss
2992,Nonvascular Plant,Tortula fragilis,None,Fragmented Screw-Moss
2991,Nonvascular Plant,Tortula amphidiacea,None,Tortula Moss
2989,Nonvascular Plant,Tortella tortuosa,None,Tortured Tortella Moss
2988,Nonvascular Plant,Tortella humilis,None,Tortella Moss
2987,Nonvascular Plant,Scopelophila ligulata,None,Copper Moss
2986,Nonvascular Plant,Oxystegus tenuirostris,None,Oxystegus Moss
2985,Nonvascular Plant,Leptodontium flexifolium,None,Pale-Margined Leptodontium
2984,Nonvascular Plant,Leptodontium excelsum,None,Grandfather Mountain Leptodontium
2983,Nonvascular Plant,Hyophila involuta,None,Hyophila Moss
2982,Nonvascular Plant,Hymenostylium recurvirostre,None,Hymenostylium Moss
3003,Nonvascular Plant,Sphagnum molle,None,Sphagnum
3269,Amphibian,Spea bombifrons,None,Plains Spadefoot
3270,Amphibian,Spea intermontana,None,Great Basin Spadefoot
3271,Amphibian,Ambystoma mavortium melanostictum,None,Blotched Tiger Salamander
3520,Vascular Plant,Senecio lugens,None,Small Blacktip Ragwort
3519,Vascular Plant,Senecio jacobaea,None,"Tansy Ragwort, Ragwort, Stinking Willie"
3518,Vascular Plant,Senecio integerrimus var. exaltatus,None,"Columbia Ragwort, Columbia Groundsel"
3517,Vascular Plant,Senecio hydrophilus,None,"Alkali Marsh Groundsel, Water Groundsel, Water Ragwort"
3516,Vascular Plant,Senecio fremontii var. fremontii,None,Dwarf Mountain Ragwort
3515,Vascular Plant,Senecio crassulus,None,"Thickleaf Ragwort, Meadow Groundsel, Thickleaf Groundsel"
3514,Vascular Plant,Rudbeckia occidentalis,None,Western Coneflower
3513,Vascular Plant,Ratibida columnifera,None,"Upright Prairie Coneflower, Prairie Coneflower, Redspike Mexican Hat"
3521,Vascular Plant,Senecio serra var. serra,None,"Tall Groundsel, Tall Ragwort"
3512,Vascular Plant,Pyrrocoma uniflora,None,Plantain Goldenweed
3510,Vascular Plant,Pyrrocoma integrifolia,None,"Entireleaf Goldenweed, Many-Stemmed Goldenweed, Manysted Goldenweed"
3509,Vascular Plant,Pseudognaphalium stramineum,None,"Annual Cudweed, Cottonbatting Plant, Cottonbatting Cudweed, Cotton Cudweed"
3508,Vascular Plant,Pseudognaphalium macounii,None,Macoun's Cudweed
3507,Vascular Plant,Packera werneriifolia,None,Hoary Groundsel
3506,Vascular Plant,Packera streptanthifolia,None,"Cleftleaf Groundsel, Rocky Mountain Groundsel"
3505,Vascular Plant,Packera pseudaurea,None,Falsegold Groundsel
3504,Vascular Plant,Packera paupercula,None,Balsam Groundsel
3503,Vascular Plant,Packera dimorphophylla var. paysonii,None,Payson's Groundsel
3511,Vascular Plant,Pyrrocoma lanceolata,None,"Lanceleaf Goldenweed, Lance-Leaf Goldenweed"
3502,Vascular Plant,Packera cana,None,Woolly Groundsel
3522,Vascular Plant,Senecio sphaerocephalus,None,"Ballhead Ragwort, Marsh Groundsel"
3524,Vascular Plant,Senecio vulgaris,None,"Old-Man-In-The-Spring, Common Groundsel"
3542,Vascular Plant,Symphyotrichum foliaceum var. canbyi,None,Canby's Aster
3541,Vascular Plant,Symphyotrichum foliaceum var. apricum,None,Alpine Leafybract Aster
3540,Vascular Plant,Symphyotrichum falcatum var. commutatum,None,White Prairie Aster
3539,Vascular Plant,Symphyotrichum eatonii,None,Eaton's Aster
3538,Vascular Plant,Symphyotrichum ciliatum,None,Rayless Alkali Aster
3537,Vascular Plant,Symphyotrichum campestre,None,Western Meadow Aster
3536,Vascular Plant,Symphyotrichum boreale,None,Northern Bog Aster
3535,Vascular Plant,Symphyotrichum ascendens,None,Western Aster
3523,Vascular Plant,Senecio triangularis,None,"Arrowleaf Groundsel, Arrowleaf Ragwort"
3534,Vascular Plant,Stephanomeria tenuifolia,None,"Narrowleaf Wirelettuce, Uinta Wirelettuce, Lesser Wirelettuce, Wright's Wirelettuce"
3532,Vascular Plant,Stenotus acaulis,None,"Stemless Goldenweed, Stemless Mock Goldenweed"
3530,Vascular Plant,Sonchus arvensis,None,"Perennial Sowthistle, Sowthistle, Field Sow-Thistle, Creeping Sowthistle, Field Sowthistle"
3529,Vascular Plant,Solidago nana,None,"Gray Goldenrod, Baby Goldenrod"
3528,Vascular Plant,Solidago multiradiata var. scopulorum,None,"Rocky Mountain Goldenrod, Manyray Goldenrod"
3527,Vascular Plant,Solidago missouriensis var. missouriensis,None,Missouri Goldenrod
3525,Vascular Plant,Solidago canadensis var. salebrosa,None,"Canadian Goldenrod, Salebrosa Goldenrod"
3533,Vascular Plant,Stephanomeria runcinata,None,"Desert Wirelettuce, Flowering-Straw"
3501,Vascular Plant,Oreostemma alpigenum var. haydenii,None,"Tundra Aster, Alpine Aster"
3500,Vascular Plant,Onopordum acanthium,None,Scotch Thistle
3499,Vascular Plant,Nothocalais troximoides,None,"False Agoseris, Weevil Prairie-Dandelion"
3475,Vascular Plant,Gaillardia aristata,None,"Common Gaillardia, Great Blanket-Flower, Gaillardia"
3474,Vascular Plant,Eurybia merita,None,Subalpine Aster
3473,Vascular Plant,Eurybia integrifolia,None,Thickstem Aster
3472,Vascular Plant,Eurybia conspicua,None,"Eastern Showy Aster, Western Showy Aster"
3471,Vascular Plant,Eucephalus engelmannii,None,Engelmann's Aster
3470,Vascular Plant,Eucephalus elegans,None,Elegant Aster
3469,Vascular Plant,Eriophyllum lanatum var. integrifolium,None,"Wholeleaf Eriophyllum, Common Woolly Sunflower"
3468,Vascular Plant,Erigeron ursinus,None,"Bear Daisy, Bear River Fleabane"
3476,Vascular Plant,Gnaphalium palustre,None,"Cudweed, Lowland Cudweed, Western Marsh Cudweed, Marsh Everlasting"
3467,Vascular Plant,Erigeron tweedyi,None,Tweedy's Fleabane
3465,Vascular Plant,Erigeron speciosus,None,"Oregon Daisy, Threenerve Fleabane, Aspen Fleabane, Oregon Fleabane"
3464,Vascular Plant,Erigeron simplex,None,"One-Stem Fleabane, Onestem Daisy, Oneflower Fleabane, Onestem Fleabane"
3463,Vascular Plant,Erigeron rydbergii,None,Rydberg's Fleabane
3462,Vascular Plant,Erigeron pumilus var. gracilior,None,Shaggy Fleabane
3461,Vascular Plant,Erigeron ochroleucus var. scribneri,None,Buff Fleabane
3460,Vascular Plant,Erigeron ochroleucus var. ochroleucus,None,Buff Fleabane
3459,Vascular Plant,Erigeron lonchophyllus,None,"Shortray Boreal Daisy, Short-Ray Boreal-Daisy, Spearleaf Daisy, Low-Meadow Fleabane, Shortray Fleabane"
3458,Vascular Plant,Erigeron linearis,None,"Linearleaf Daisy, Desert Yellow Fleabane"
3477,Vascular Plant,Grindelia squarrosa,None,"Curlytop Gumweed, Gumweed, Rosinweed, Curlycup Gumweed, Tarweed"
3478,Vascular Plant,Helianthella quinquenervis,None,"Fivenerve Helianthella, Nodding Helianthella, Nodding Dwarf-Sunflower"
3479,Vascular Plant,Helianthella uniflora,None,Oneflower Helianthella
3498,Vascular Plant,Nothocalais nigrescens,None,Meadow Prairie-Dandelion
3497,Vascular Plant,Microseris nutans,None,"Nodding Silverpuffs, Nodding Microseris"
3496,Vascular Plant,Matricaria matricarioides,None,"Disc Mayweed, Pineappleweed"
3495,Vascular Plant,Madia glomerata,None,"Mountain Tarweed, Mountain Tarplant, Cluster Tarweed"
3494,Vascular Plant,Machaeranthera canescens var. canescens,None,Hoary Tansyaster
3493,Vascular Plant,Logfia arvensis,None,Field Cottonrose
3490,Vascular Plant,Iva xanthifolia,None,"Giant Marshelder, Marshelder, Horseweed, Burweed Marshelder, Giant Sumpweed, Carelessweed, Rag Sumpweed, False Ragweed"
3489,Vascular Plant,Ionactis alpina,None,"Crag Aster, Lava Aster"
3487,Vascular Plant,Hulsea algida,None,"Pacific Hulsea, Alpine Hulsea"
3486,Vascular Plant,Hieracium floribundum,None,Yellow Devil Hawkweed
3485,Vascular Plant,Hieracium cynoglossoides,None,Houndstongue Hawkweed
3483,Vascular Plant,Hieracium albiflorum,None,"White Hawkweed, Whiteflower Hawkweed"
3482,Vascular Plant,Heterotheca villosa var. nana,None,Hairy False Goldenaster
3481,Vascular Plant,Helianthus nuttallii,None,Nuttall's Sunflower
3543,Vascular Plant,Symphyotrichum foliaceum var. parryi,None,Parry's Aster
3544,Vascular Plant,Symphyotrichum frondosum,None,Short-Rayed Alkali Aster
3545,Vascular Plant,Symphyotrichum lanceolatum var. hesperium,None,White Panicle Aster
3546,Vascular Plant,Symphyotrichum spathulatum,None,Western Mountain Aster
3609,Vascular Plant,Camelina microcarpa,None,"Smallseed Falseflax, Small Fruited Falseflax, Littlepod Falseflax, Littlepod False Flax, Little-Pod False Flax, Littleseed Falseflax"
3607,Vascular Plant,Brassica kaber,None,"Canola, Rapeseed, Charlock Mustard, Wild Mustard, Kaber Mustard"
3606,Vascular Plant,Boechera lemmonii,None,Lemmon's Rockcress
3605,Vascular Plant,Berteroa incana,None,"Hoary Alyssum, Hoary False Madwort, Hoary False Alyssum"
3603,Vascular Plant,Barbarea orthoceras,None,"Wintercress, American Yellowrocket, Erectpod Wintercress"
3602,Vascular Plant,Arabis hirsuta var. pycnocarpa,None,"Creamflower Rockcress, Hairy Rockcress"
3610,Vascular Plant,Camelina sativa,None,Gold-Of-Pleasure
3601,Vascular Plant,Arabis hirsuta var. glabrata,None,Mountain Rockcress
3599,Vascular Plant,Alyssum desertorum,None,"Desert Alyssum, Desert Madwort"
3598,Vascular Plant,Alyssum alyssoides,None,"Pale Alyssum, Yellow Alyssum, Pale Madwort"
3597,Vascular Plant,Phacelia linearis,None,"Linearleaf Phacelia, Threadleaf Phacelia"
3596,Vascular Plant,Phacelia hastata var. hastata,None,"Silverleaf Phacelia, Silver-Leaf Scorpion-Weed"
3595,Vascular Plant,Phacelia franklinii,None,Franklin's Phacelia
3594,Vascular Plant,Nemophila breviflora,None,"Basin Nemophila, Baby Blueeyes, Great Basin Blue-Eyes"
3593,Vascular Plant,Hydrophyllum capitatum var. capitatum,None,Ballhead Waterleaf
3592,Vascular Plant,Hesperochiron pumilus,None,Dwarf Hesperochiron
3600,Vascular Plant,Arabis glabra var. glabra,None,"Tower Rockcress, Rock Cress"
3612,Vascular Plant,Cardamine breweri var. breweri,None,Brewer's Bittercress
3613,Vascular Plant,Cardamine oligosperma var. oligosperma,None,Little Western Bittercress
3632,Vascular Plant,Draba paysonii var. treleasii,None,Trelease's Draba
3631,Vascular Plant,Draba paysonii var. paysonii,None,Payson's Draba
3630,Vascular Plant,Draba oligosperma,None,"Fewseed Draba, Glacier Draba"
3629,Vascular Plant,Draba nemorosa,None,"Woodland Whitlowgrass, Woodland Draba, Woods Draba"
3628,Vascular Plant,Draba lonchocarpa var. lonchocarpa,None,Lancepod Draba
3627,Vascular Plant,Draba incerta,None,Yellowstone Draba
3626,Vascular Plant,Draba globosa,None,Beavertip Draba
3625,Vascular Plant,Draba densifolia,None,Denseleaf Draba
3624,Vascular Plant,Draba crassifolia,None,"Snowbed Whitlow-Grass, Snowbed Whitlowgrass, Snowbed Draba, Rocky Mountain Draba"
3623,Vascular Plant,Draba crassa,None,Thickleaf Draba
3622,Vascular Plant,Draba borealis,None,Boreal Draba
3621,Vascular Plant,Draba aurea,None,"Golden Draba, Golden Whitlowgrass"
3620,Vascular Plant,Draba albertina,None,"Slender Draba, Arc Dome Draba"
3619,Vascular Plant,Descurainia sophia,None,"Flixweed, Flaxweed Tansymustard, Tansymustard, Pinnate Tansymustard, Flixweed Tansymustard, Herb-Sophia, Herb Sophia"
3618,Vascular Plant,Chorispora tenella,None,"Purple Mustard, Tenella Mustard, Bluemustard, Common Blue Mustard, Crossflower, Beanpodded Mustard, Blue Mustard"
3617,Vascular Plant,Cardaria pubescens,None,"Whitetop, Globe-Podded Hoarycress, Hoary Cress, Globe-Pod Hoarycress, Hairy Whitetop"
3616,Vascular Plant,Cardaria draba,None,"Whitetop, Pepperweed Whitetop, Whiteweed, Hoary Cress, Heart-Pod Hoarycress, Heart-Podded Hoarycress, Globed-Podded Hoarycress, Peppergrass"
3615,Vascular Plant,Cardaria chalapensis,None,"Lenspod Whitetop, Lens-Podded Hoary Whitetop, Whitetop, Whiteweed, Hoary Cress, Lens Podded Hoary Cress, Heartpod Hoarycress, Peppergrass"
3591,Vascular Plant,Ellisia nyctelea,None,"Waterpod, False Babyblueeyes, Aunt Lucy"
3457,Vascular Plant,Erigeron gracilis,None,Quill Fleabane
3590,Vascular Plant,Plagiobothrys scouleri var. hispidulus,None,"Meadow Popcornflower, Sleeping Popcornflower"
3588,Vascular Plant,Mertensia ciliata var. ciliata,None,"Tall Fringed Bluebells, Tall Fringe Bluebells"
3564,Vascular Plant,Wyethia amplexicaulis,None,"Mule-Ears, Mulesear Wyethia, Mule's Ear Wyethia"
3562,Vascular Plant,Tragopogon dubius,None,"Goat's Beard, Salsify, Wild Oysterplant, Western Goat's Beard, Common Salsify, Yellow Goat's Beard, Western Salsify, Goatsbeard, Salsifis Majeur, Yellow Salsify, Meadow Goat's-Beard"
3561,Vascular Plant,Townsendia spathulata,None,Sword Townsend Daisy
3560,Vascular Plant,Townsendia parryi,None,"Parry's Townsendia, Parry's Townsend Daisy"
3559,Vascular Plant,Townsendia leptotes,None,"Common Townsend Daisy, Common Townsendia"
3558,Vascular Plant,Townsendia hookeri,None,"Hooker's Townsend Daisy, Hooker's Townsendia, Hooker's Townsend-Daisy"
3557,Vascular Plant,Townsendia condensata var. condensata,None,Cushion Townsend Daisy
3565,Vascular Plant,Wyethia helianthoides,None,"Whitehead Wyethia, Sunflower Mule-Ears"
3556,Vascular Plant,Townsendia alpigena,None,Wyoming Townsend Daisy
3554,Vascular Plant,Tetradymia spinosa,None,"Spiny Horsebrush, Shortspine Horsebrush"
3553,Vascular Plant,Tetradymia canescens,None,"Gray Horsebrush, Spineless Horsebrush"
3552,Vascular Plant,Taraxacum scopulorum,None,Harp Dandelion
3549,Vascular Plant,Taraxacum eriophorum,None,Woolbearing Dandelion
3548,Vascular Plant,Taraxacum ceratophorum,None,"Common Dandelion, Woolbearing Dandelion"
3555,Vascular Plant,Tonestus lyallii,None,"Alpine Goldenweed, Lyall's Goldenweed"
3566,Vascular Plant,Campanula rapunculoides,None,"Rover Bellflower, Rampion Bellflower, Creeping Bellflower"
3567,Vascular Plant,Campanula rotundifolia,None,"Bluebell-Of-Scotland, Bluebell Bellflower, Bluebell, Roundleaf Harebell"
3568,Vascular Plant,Porterella carnosula,None,"Porterplant, Fleshy Porterella"
3587,Vascular Plant,Mertensia alpina,None,Alpine Bluebells
3586,Vascular Plant,Lithospermum ruderale,None,"Western Stoneseed, White Stoneseed, Western Gromwell"
3585,Vascular Plant,Lithospermum incisum,None,"Fringed Gromwell, Narrowleaf Gromwell, Trumpet Stoneseed, Narrowleaf Pucoon, Fringed Puccoon, Narrowleaf Stoneseed"
3584,Vascular Plant,Lithospermum arvense,None,"Puccoon, Corn Gromwell"
3583,Vascular Plant,Hackelia patens var. patens,None,Spotted Stickseed
3582,Vascular Plant,Hackelia micrantha,None,"Jessica Sticktight, Meadow Stickseed"
3581,Vascular Plant,Hackelia floribunda,None,"Showy Stickseed, Manyflower Stickseed, Manyflowered Stickseed"
3580,Vascular Plant,Eritrichium nanum var. elongatum,None,Arctic Alpine Forget-Me-Not
3578,Vascular Plant,Cryptantha watsonii,None,Watson's Cryptantha
3577,Vascular Plant,Cryptantha torreyana,None,"Torrey's Cat's-Eye, Torrey's Cryptantha"
3576,Vascular Plant,Cryptantha spiculifera,None,Snake River Cryptantha
3575,Vascular Plant,Cryptantha fendleri,None,"Sanddune Cryptantha, Fendler's Cryptantha, Sanddune Catseye"
3574,Vascular Plant,Cryptantha celosioides,None,"Buttecandle, Minerscandle"
3573,Vascular Plant,Cryptantha ambigua,None,"Basin Cryptantha, Wickes Cryptantha, Wilkes Cryptantha"
3572,Vascular Plant,Cryptantha affinis,None,"Quill Cryptantha, Common Cryptantha"
3571,Vascular Plant,Asperugo procumbens,None,"German-Madwort, Madwort, German Mugwort"
3570,Vascular Plant,Amsinckia menziesii,None,"Smallflower Fiddleneck, Menzies' Fiddleneck, Small-Flower Fiddleneck"
3569,Vascular Plant,Menyanthes trifoliata,None,"Common Bogbean, Bog-Bean, Buck-Bean, Buckbean"
3589,Vascular Plant,Mertensia oblongifolia,None,"Languid-Lady, Oblongleaf Bluebells"
3456,Vascular Plant,Erigeron glabellus var. glabellus,None,"Streamside Fleabane, Rough Fleabane"
3455,Vascular Plant,Erigeron formosissimus var. viscidus,None,Beautiful Fleabane
3454,Vascular Plant,Erigeron eatonii var. eatonii,None,"Eaton's Fleabane, Eaton's Daisy"
3338,Vascular Plant,Lomatium macrocarpum,None,"Bigseed Biscuitroot, Bigseed Lomatium, Long Mamma, Large-Fruit Desert-Parsley, Largefruit Biscuitroot"
3337,Vascular Plant,Lomatium dissectum var. multifidum,None,Carrotleaf Biscuitroot
3336,Vascular Plant,Lomatium cous,None,"Cous' Biscuitroot, Cous Biscuitroot, Cous-Root Desert-Parsley"
3335,Vascular Plant,Lomatium ambiguum,None,Wyeth Biscuitroot
3334,Vascular Plant,Ligusticum filicinum,None,"Fernleaf Licorice-Root, Fernleaf Licoriceroot"
3333,Vascular Plant,Ligusticum canbyi,None,"Canby's Licorice-Root, Canby's Lovage"
3331,Vascular Plant,Cymopterus nivalis,None,Snowline Springparsley
3339,Vascular Plant,Musineon divaricatum,None,"Wildparsley, Leafy Wild Parsley, Leafy Wildparsley, Leafy Musineon"
3327,Vascular Plant,Bupleurum americanum,None,American Thorow Wax
3326,Vascular Plant,Angelica roseana,None,Rose Angelica
3325,Vascular Plant,Angelica pinnata,None,"Smallleaf Angelica, Small-Leaf Angelica"
3324,Vascular Plant,Angelica arguta,None,"Angelica, Sharptooth Angelica, Lyall's Angelica"
3323,Vascular Plant,Scheuchzeria palustris,None,Rannoch-Rush
3322,Vascular Plant,Ruppia cirrhosa,None,Spiral Ditchgrass
3321,Vascular Plant,Zannichellia palustris,None,"Horned-Pondweed, Horned Pondweed, Horned Poolmat"
3329,Vascular Plant,Cicuta maculata var. angustifolia,None,"Spotted Cowbane, Spotted Parsley, Spotted Water-Hemlock, Water Hemlock, Spotted Water Hemlock, Poison Parsnip, Common Water Hemlock"
3340,Vascular Plant,Orogenia linearifolia,None,"Great Basin Indian Potato, Indianpotato"
3341,Vascular Plant,Osmorhiza berteroi,None,"Sweet Cicely, Mountain Sweetroot, Sweetcicely"
3342,Vascular Plant,Osmorhiza depauperata,None,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot"
3363,Vascular Plant,Calypso bulbosa,None,"Fairy-Slipper Orchid, Fairyslipper Orchid, Fairy Slipper, Fairyslipper"
3362,Vascular Plant,Sisyrinchium montanum,None,"Mountain Blueeyed Grass, Strict Blue-Eyed Grass, Strict Blue-Eyed-Grass, Mountain Blue-Eyed Grass"
3361,Vascular Plant,Sisyrinchium idahoense var. occidentale,None,Idaho Blue-Eyed Grass
3360,Vascular Plant,Sisyrinchium idahoense var. idahoense,None,Idaho Blue-Eyed Grass
3358,Vascular Plant,Yucca glauca,None,"Spanish Bayonet, Great Plains Yucca, Beargrass, Small Soapweed, Yucca, Soapweed Yucca"
3357,Vascular Plant,Triteleia grandiflora var. grandiflora,None,Largeflower Triteleia
3356,Vascular Plant,Maianthemum stellatum,None,"Starry False Lily Of The Valley, Star-Flower Solomon's-Seal, Starry False Solomon's-Seal, Little False Solomon's-Seal, False Solomon's Seal, Starry False Solomon's Seal, Star False Solomon's-Seal, Starry Solomon's-Seal"
3355,Vascular Plant,Camassia quamash,None,"Small Camas, Common Camas"
3353,Vascular Plant,Allium textile,None,"Textile Onion, Prairie Onion, Wild Onion"
3352,Vascular Plant,Allium schoenoprasum,None,"Wild Chives, Wild Chive"
3351,Vascular Plant,Allium geyeri var. tenerum,None,Bulbil Onion
3350,Vascular Plant,Allium cernuum,None,Nodding Onion
3349,Vascular Plant,Allium brevistylum,None,Shortstyle Onion
3348,Vascular Plant,Allium brandegeei,None,Brandegee's Onion
3344,Vascular Plant,Sanicula graveolens,None,"Northern Sanicle, Sierra Sanicle"
3320,Vascular Plant,Stuckenia vaginata,None,Sheathed Pondweed
3364,Vascular Plant,Corallorrhiza mertensiana,None,Pacific Coralroot
3319,Vascular Plant,Stuckenia filiformis ssp. occidentalis,None,"Western Fineleaf Pondweed, Slender Pondweed"
3317,Vascular Plant,Potamogeton zosteriformis,None,Flat-Stemmed Pondweed
3291,Vascular Plant,Sagittaria cuneata,None,"Arumleaf Arrowhead, Arum-Leaf Arrowhead, Nothern Arrowhead, Wapato"
3290,Vascular Plant,Alisma triviale,None,"Northern Water-Plantain, Northern Water Plantain"
3289,Vascular Plant,Dodecatheon pulchellum var. pulchellum,None,"Beautiful Shooting Star, Shooting Star, Slimpod Shooting Star"
3287,Fish,Thymallus arcticus,None,Arctic Grayling
3286,Fish,Salvelinus namaycush,None,Lake Trout
3284,Fish,Prosopium williamsoni,None,Mountain Whitefish
3293,Vascular Plant,Lemna trisulca,None,"Ivy-Leaf Duckweed, Star Duckweed"
3282,Fish,Oncorhynchus clarkii lewisi,None,Westslope Cutthroat Trout
3280,Fish,Oncorhynchus clarki behnkei,None,Finespotted Snake River Cutthroat Trout
3279,Fish,Richardsonius balteatus,None,Redside Shiner
3278,Fish,Rhinichthys osculus,None,Speckled Dace
3277,Fish,Gila atraria,None,Utah Chub
3276,Fish,Couesius plumbeus,None,Lake Chub
3274,Fish,Catostomus platyrhynchus,None,Mountain Sucker
